Message,Severity,Explanation,Recommended Action
"AAA-3-VALIDATE_MSCHAP2_CRED_FAILED: ""Could not validate credentials for proxied RADIUS. %s. STA : %02x:%02x:%02x:%02x:%02x:%02x",3-Error,An incorrectly formatted MS CHAP protocol message was received from the client and could not be processed. Authentication failed.,Check for driver updates for the client driver software or consult with the vendor of the client software.
AAA-3-WEBAUTH_RESPONSE_QUEUE_FAILED: MSG_SECURITY,3-Error,Failed to queue webauth response to Webauth message queue.,This is a debug message only. No action is required.
AAA-4-AAA_REPEAT_REQUEST: MSG_TRACEBACK,4-Warning,An authentication request was already detected in the request queue. The system has attempted to requeue the same request.,No action is required
"AAA-4-AAA_SYNC_FAIL_REQUEST: ""Authentication request",4-Warning, An Authentication request queuing failed.,No action is required
"AAA-4-ATTRITBUTE_AVC_PROFILE_LEN_EXCEED: ""AVC Porfile Name too long : %s""",4-Warning,AVC Profile Name too long.,No action is required
"AAA-4-ATTRITBUTE_IPv6_LEN_EXCEED: ""IPv6 ACL Name too long : %s""",4-Warning,IPv6 ACL Name too long.,No action is required
"AAA-4-ATTRITBUTE_LEN_EXCEED: ""IPv4 ACL name is too long : %s""",4-Warning,IPv4 ACL name is too long.,No action is required
"AAA-4-AVP_BUF_SHORT: ""%dth AVP is skipped. RADIUS msgtype=%d. Prev AVP=%dlen=%d offset=%d numAVPs=%d.""",4-Warning,Radius buffer size is short for an AVP.,No action is required
"AAA-4-AVP_CORRUPT: ""%dth AVP is corrupted. RADIUS msgtype=%d. Prev AVP=%dlen=%d offset=%d numAVPs=%d..""",4-Warning,An AVP is corrupted.,No action is required
"AAA-4-COMPUTE_AVP_SIZE_FAILED: ""Received bad AVP :%p",4-Warning,Received a bad AVP.,No action is required
"AAA-4-COPY_AVP_BLOCK_FAILED: ""Could not copy AVPs to block. %s""",4-Warning,Could not copy an AVP to the block.,No action is required
"AAA-4-CREATE_RADIUS_MES_FAILED: ""Could not create RADIUS message. %s. numAVPs:%d.""",4-Warning,Could not create a RADIUS message.,No action is required
AAA-4-CTS_RADIUS_RESPONSE_FAILED: RADIUS server %s:%u failed to respond to request,4-Warning,Sgt Policy download failed because a valid RADIUS server could not be found to service the request.,Verify RADIUS server configuration and connectivity.
"AAA-4-CTS_RADSERVER_NOT_FOUND: ""Could not find appropriate RADIUS server for sgt %d - %s""",4-Warning,Sgt Policy download failed because a valid RADIUS server could not be found to service the request.,Verify RADIUS server configuration and connectivity.
AAA-4-DB_RECORD_ADD_FAILED: MSG_SECURITY,4-Warning,A new record could not be added to the user database because it is full.,Delete inactive users from the local user database to make space for new entries.
AAA-4-FREELIST_ADD_FAILED: MSG_SECURITY,4-Warning,Unable to return the memory of a processed AAA message to the free list because of an internal error. Future AAA requests may fail.,This is a debug message only. No action is required.
"AAA-4-GET_GUEST_START_TIME_FAILED: ""Could not get start time for guest user record. %s.""",4-Warning,Could not get a start time for a guest user record.,This is a debug message only. No action is required.
"AAA-4-GET_RADIUS_PROXYSTATE_FAILED: ""Could not get proxy state. %s.""",4-Warning,Could not get a proxy state.,No action is required
"AAA-4-GUESTACCT_TIMERSET_FAILED: ""Unable to set timer for guest accounts. %s.""",4-Warning,Session expiry was not set correctly because of an internal error. Guest user accounts may not expire as expected.,This is a debug message only. No action is required.
"AAA-4-GUESTUSER_DEL_FAILED: ""Unable to delete the user '%s'. %s.""",4-Warning,Unable to delete a particular user from database.,No action is required
"AAA-4-INVALID_AUTH_REQ_TYPE: ""Invalid RADIUS authentication type %u in AAA request""",4-Warning,Invalid RADIUS authentication type in the AAA request,No action is required
"AAA-4-INVALID_AUTHENTICATOR: ""Unable to verify RADIUS message authenticator for mobile%02x:%02x:%02x:%02x:%02x:%02x. %s""",4-Warning,Invalid RADIUS message authenticator for mobile.,No action is required
"AAA-4-INVALID_DATA_STRUCT: ""Could not validate the data structure - %s.""",4-Warning,Could not validate a data structure.,No action is required
"AAA-4-INVALID_MESSAGE_AUTHENTCATOR: ""Invalid message authenticator received in %s from%s""",4-Warning,Invalid message authenticator received.,No action is required
"AAA-4-INVALID_RADIUS_PKT_SIZE: ""RADIUS packet is too small or big with length. %d""",4-Warning,A RADIUS packet is less than its minimum size or larger than maximum size.,No action is required
"AAA-4-INVALID_REQUEST_TYPE: ""Received an invalid request type.",4-Warning,Received an invalid request type that is not related to AAA or accounting.,No action is required
"AAA-4-LDAPMSG_SEND_FAILED: ""Could not send a message to LDAP task. %s.""",4-Warning,Could not send a message to the LDAP task.,No action is required
"AAA-4-LIFETIME_VALUE_CORRUPT: ""Corrupted value of lifetime for guest user %s.""",4-Warning,The value of the lifetime for a guest user has been corrupted. Session expiry for guest users may not work correctly.,Check the lifetime for all entries in the guest database and reset that are invalid.
"AAA-4-LOCALAUTH_EAP_ABORT: ""Local Auth EAP session aborted for client %02x:%02x:%02x:%02x:%02x:%02x.""",4-Warning,Local Auth EAP session is terminated,No action is required
"AAA-4-MESSAGE_TYPE_UNKNOWN: ""Unable to send AAA request",4-Warning,Unable to send an AAA request,No action is required
"AAA-4-MSCB_NOT_FOUND: ""Unable to find Mobile Station Entry for %02X:%02X:%02X:%02X:%02X:%02X .""",4-Warning,Unable to find the Mobile Station Entry.,No action is required
"AAA-4-MSG_RECV_FAILED: ""Failed to receive an incoming message. Error = %d:%s.""",4-Warning,Failed to receive an incoming message.,No action is required
"AAA-4-POLL_CALL_FAIL: ""Controller connection to Tacacs server %s failed due to %s""",4-Warning,Controller is connecting to TACACS server.,No action is required
"AAA-4-PROC_PROXY_REQ_FAILED: ""Could not process proxy request. %s. RADIUSLength=%d",4-Warning,Could not process proxy request.,No action is required
"AAA-4-PROC_PROXY_RESP_FAILED: ""Could not process a proxy RADIUS response. %s. RADIUS Length=%d",4-Warning,Could not process RADIUS response.,No action is required
AAA-4-PROC_RADIUS_RESP_FAILED: Could not process RADIUS response. %s. ResponseLength: %d,4-Warning,Could not process RADIUS response.,No action is required
"AAA-4-PROCESS_ACC_FAILED: ""Could not process accounting type 0x%x. %s. """,4-Warning,Could not process an accounting type. ,No action is required
"AAA-4-RADACCTSRVR_STATESET_FAILED: ""Unable to set state of RADIUS accounting server %d to %d. %s.""",4-Warning,Unable to set the state of a particular RADIUS accounting server.,No action is required
"AAA-4-RADAUTHSRVR_STATESET_FAILED: ""Unable to set state of RADIUS authentication server %d to %d. %s.""",4-Warning,Unable to set the state of a particular RADIUS authentication server.,No action is required
"AAA-4-RADCLIENT_NOT_FOUND: ""RADIUS client %s not found in client list.""",4-Warning,A RADIUS client is not found in client list.,No action is required
"AAA-4-RADIUS_RESPONSE_FAILED: ""RADIUS server %s:%u failed to respond to request",4-Warning,RADIUS server failed to respond to request for STA.,No action is required
"AAA-4-RADIUSMSG_SEND_FAILED: ""Unable to send RADIUS message to %s:%u ",4-Warning,Unable to send RADIUS message to a specific host.,No action is required
"AAA-4-RADSERVER_NOT_FOUND: ""Could not find appropriate RADIUS server for WLAN %d - %s""",4-Warning,Client authentication failed because a valid RADIUS server could not be found to service the request.,Verify RADIUS server configuration and connectivity.
"AAA-4-RCV_FROM_UNKNOWN_SERVER: ""Received a %s from unknown server %s:%u""",4-Warning,Received a msg from unknown server.,No action is required
"AAA-4-RCV_PKT_TO_RFC3576_PRT_FAILED: ""Received an unexpected %s from %s""",4-Warning,Received an unexpected msg.,No action is required
"AAA-4-RCV_WITH_WRONG_ENCAP: ""RADIUS msg with unexpected encapsulation",4-Warning,A RADIUS message was ignored because the encapsulation was invalid,No action is required
"AAA-4-REBUILD_DEFAULT_CONFIG: ""Rebuilding the default configuration for '%s'""",4-Warning,Rebuilding the default configuration.,No action is required
"AAA-4-RFC3576_REXMT_FAILED: ""Could not retransmit RFC-3576 message to %s:%u. %s. """,4-Warning,Could not retransmit RFC-3576 message to a particular host. ,No action is required
"AAA-4-SEND_AAA_RESPONSE_FAILED: ""Could not send AAA response. %s.""",4-Warning,Could not send AAA response.,No action is required
"AAA-4-SEND_RFC_RESPONSE_FAILED: Could not send RFC-3576 response. %s. """,4-Warning,Could not send RFC-3576 response. ,No action is required
"AAA-4-SEND_TPLUS_MES_FAILED: ""Could not send TACACS+ message. %s.",4-Warning,Could not send TACACS+ message.,No action is required
"AAA-4-SET_SERVER_FAILED: ""Could not set RADIUS server. %s.""",4-Warning,Could not set RADIUS server.,No action is required
"AAA-4-STATIC_ENTRIES_DELETED: ""All the static radius/tacacs configuration is deleted %s.""",4-Warning,All the static radius/tacacs including the WLAN reference is deleted.,No action is required
"AAA-4-SUPPLY_UNAME_PASS: ""Username & password must be supplied. User : %p",4-Warning,Username & password must be supplied.,No action is required
"AAA-4-TPLUS_SERVER_NOT_FOUND: ""TACACS+ server not found. %s""",4-Warning,TACACS+ server not found,No action is required
"AAA-4-TPLUS_SWITCHOVER_FAILED: ""TACACS+ server switchover failed as there is no other server active. Current server is %s",4-Warning,TACACS+ server switchover failed as there is no other server active,No action is required
"AAA-4-TPLUS_SWITCHOVER_FAILED: ""TACACS+ server switchover failed as there is no other server active. Current server is %s",4-Warning,TACACS+ server switchover failed as there is no other server active,No action is required
"AAA-4-TPLUS_TOO_BIG_PACKET: ""Tacacs response",4-Warning,Tacacs Server response is greater than max length 4096.,No action is required
"AAA-4-TRANSLATE_AAA_TO_RADIUS_FAILED: ""Could not translate AAA AVP to RADIUS AVP. %s.Code=%d",4-Warning,Could not translate AAA AVP to RADIUS AVP. ,No action is required
"AAA-4-USER_PASS_CHECK_FAILED: ""Could not check password for user. %s.UsernameLength: %d. Password Length:%d.""",4-Warning,User name or password is too long.,Check if the user name and password are too long
"AAA-5-AAA_AUTH_ADMIN_USER: ""Authentication %s for admin user '%s' on %s""",5-Notice,Authentication for an admin user.,No action is required
"AAA-5-AAA_AUTH_NETWORK_USER: ""Authentication %s for network user '%s'""",5-Notice,Authentication for a network user.,No action is required
"AAA-5-POLL_CALL_SUCCESS: ""Controller is connecting to Tacacs server IP: %s """,5-Notice,Controller is connecting to TACACS server.,No action is required
"AAA-5-SYN_CALLBACK_FAILED: ""AAA Sync.Callback failed. %s.""",5-Notice,AAA Sync.Callback failed.,No action is required
"AAA-5-TPLUS_SWITCHOVER_SUCCESS: ""TACACS+ server switchover successful. New server is %d.%d.%d.%d.""",5-Notice,TACACS+ server switchover successful,No action is required
"AAA-6-ARP_LOOKUP_FAIL: ""Default gateway ARP lookup failed.""",6-Information,A default gateway ARP lookup has failed when sending a RADIUS request over a dynamic interface.,This is a debug message only. No action is required.
"AAA-6-CREATE_AVL_TREE: ""Creating an AVL tree with %d entries""",6-Information,Creating an AVL tree with entries.,No action is required
"AAA-6-CREATE_CONFIG_FILE: ""Creating default aaaFile.cfg""",6-Information,Creating a default entity on the local database.,No action is required
"AAA-6-DB_ADD_BLACKLIST_USR: ""Adding blacklist user '%s' to AAA database.""",6-Information,Adding a block listed user to the AAA database.,No action is required
"AAA-6-DB_ADD_USER: ""Adding user '%s' to AAA database.""",6-Information,Adding an user to the AAA database.,No action is required
"AAA-6-DELETE_CLIENT_GUEST_ACCOUNT_EXPIRE: ""Delete client %02x:%02x:%02x:%02x:%02x:%02xbecause guest user account",6-Information,The system has deleted a client because a guest user account expired.,Current passwd is expired for current user
"AAA-6-FUNC_RUNNING: ""Running %s...""",6-Information,A functional module is started.,No action is required
"AAA-6-GUEST_ACCOUNT_CREATE: ""Guest user account",6-Information,A guest user account has been created.,No action is required
"AAA-6-GUEST_ACCOUNT_DELETE: ""Guest user account",6-Information,Guest user account deleted,No action is required
"AAA-6-GUEST_ACCOUNT_EXPIRE: ""Guest user account",6-Information,Guest user account expired,No action is required
AAA-6-MGMTUSER_ACCOUNT_EXPIRE: management user account,6-Information,management user account expired.,Current passwd is expired for current user
